Слово,Количество,Частота(%)
water,86,0.014654
Guards,85,0.0144836
surprise,85,0.0144836
farther,85,0.0144836
least,85,0.0144836
view,85,0.0144836
retreat,85,0.0144836
gray,85,0.0144836
knows,85,0.0144836
truth,85,0.0144836
foot,85,0.0144836
neither,85,0.0144836
firing,85,0.0144836
seems,85,0.0144836
deep,85,0.0144836
exclaimed,84,0.0143132
Project,84,0.0143132
Cossacks,84,0.0143132
sounds,84,0.0143132
middle,84,0.0143132
Gutenberg,84,0.0143132
sake,84,0.0143132
move,83,0.0141428
calm,83,0.0141428
reading,83,0.0141428
Cossack,83,0.0141428
Iv,83,0.0141428
seem,83,0.0141428
Her,83,0.0141428
cap,83,0.0141428
happen,83,0.0141428
victory,83,0.0141428
fixed,82,0.0139724
change,82,0.0139724
pass,82,0.0139724
hussar,82,0.0139724
difficult,82,0.0139724
khon,82,0.0139724
grown,82,0.0139724
point,82,0.0139724
meant,82,0.0139724
leaving,82,0.0139724
call,82,0.0139724
General,82,0.0139724
knowing,82,0.0139724
begun,81,0.013802
joy,81,0.013802
lying,81,0.013802
various,81,0.013802
listening,81,0.013802
seized,81,0.013802
infantry,81,0.013802
use,81,0.013802
within,81,0.013802
pressed,80,0.0136316
carts,80,0.0136316
whispered,80,0.0136316
marry,80,0.0136316
passing,80,0.0136316
beautiful,80,0.0136316
step,80,0.0136316
finished,80,0.0136316
sad,80,0.0136316
angrily,79,0.0134612
today,79,0.0134612
quiet,79,0.0134612
o,79,0.0134612
Sper,79,0.0134612
prepared,79,0.0134612
Bennigsen,78,0.0132908
drove,78,0.0132908
continually,78,0.0132908
ranks,78,0.0132908
rushed,78,0.0132908
effort,78,0.0132908
laughed,78,0.0132908
hard,78,0.0132908
asleep,78,0.0132908
clock,78,0.0132908
distance,78,0.0132908
sleep,78,0.0132908
ill,78,0.0132908
single,78,0.0132908
future,77,0.0131204
fight,77,0.0131204
listen,77,0.0131204
mouth,77,0.0131204
serfs,77,0.0131204
keep,77,0.0131204
simply,77,0.0131204
person,77,0.0131204
remain,77,0.0131204
An,77,0.0131204
getting,76,0.01295
hill,76,0.01295
condition,76,0.01295
hardly,76,0.01295
Here,76,0.01295
cavalry,76,0.01295
shin,76,0.01295
conception,76,0.01295
perhaps,76,0.01295
pointing,76,0.01295
affair,76,0.01295
evident,76,0.01295
Ily,75,0.0127796
Kur,75,0.0127796
probably,75,0.0127796
latter,75,0.0127796
story,75,0.0127796
number,74,0.0126092
peasant,74,0.0126092
direction,74,0.0126092
drawn,74,0.0126092
lived,74,0.0126092
ago,74,0.0126092
glass,74,0.0126092
suite,74,0.0126092
khov,73,0.0124388
fall,73,0.0124388
low,73,0.0124388
formed,73,0.0124388
gentlemen,73,0.0124388
matters,73,0.0124388
idea,73,0.0124388
tea,73,0.0124388
path,73,0.0124388
march,73,0.0124388
desire,73,0.0124388
hour,73,0.0124388
married,73,0.0124388
presented,73,0.0124388
means,73,0.0124388
nonsense,73,0.0124388
result,73,0.0124388
sofa,73,0.0124388
Hills,73,0.0124388
Some,73,0.0124388
paused,73,0.0124388
bring,72,0.0122685
suffering,72,0.0122685
liked,72,0.0122685
therefore,72,0.0122685
forget,72,0.0122685
dead,72,0.0122685
ra,72,0.0122685
special,72,0.0122685
looks,72,0.0122685
battery,72,0.0122685
sense,71,0.0120981
spite,71,0.0120981
placed,71,0.0120981
real,71,0.0120981
rubles,71,0.0120981
party,71,0.0120981
guests,71,0.0120981
nearer,71,0.0120981
dressed,71,0.0120981
Julie,71,0.0120981
danger,71,0.0120981
instead,71,0.0120981
poor,71,0.0120981
Nesv,71,0.0120981
bright,71,0.0120981
actions,71,0.0120981
occurred,70,0.0119277
enter,70,0.0119277
walked,70,0.0119277
approached,70,0.0119277
laughter,70,0.0119277
Majesty,70,0.0119277
begin,70,0.0119277
addressing,70,0.0119277
report,70,0.0119277
figure,70,0.0119277
brilliant,70,0.0119277
court,70,0.0119277
glance,70,0.0119277
hearing,70,0.0119277
following,69,0.0117573
sure,69,0.0117573
notice,69,0.0117573
Tsar,69,0.0117573
however,69,0.0117573
account,69,0.0117573
involuntarily,69,0.0117573
rov,69,0.0117573
pretty,69,0.0117573
except,69,0.0117573
sir,69,0.0117573
neck,69,0.0117573
Austrian,69,0.0117573
glancing,69,0.0117573
muttered,69,0.0117573
group,69,0.0117573
wait,68,0.0115869
feelings,68,0.0115869
1,68,0.0115869
hurriedly,68,0.0115869
leg,68,0.0115869
die,68,0.0115869
simple,68,0.0115869
wearing,68,0.0115869
bin,68,0.0115869
Bil,68,0.0115869
serious,68,0.0115869
dressing,68,0.0115869
relations,67,0.0114165
friends,67,0.0114165
interest,67,0.0114165
silently,67,0.0114165
try,67,0.0114165
understanding,67,0.0114165
consciousness,66,0.0112461
according,66,0.0112461
plain,66,0.0112461
splendid,66,0.0112461
flushed,66,0.0112461
wrong,66,0.0112461
unknown,66,0.0112461
written,66,0.0112461
city,66,0.0112461
chair,66,0.0112461
growing,66,0.0112461
filled,66,0.0112461
mean,66,0.0112461
post,65,0.0110757
strong,65,0.0110757
sorry,65,0.0110757
effect,65,0.0110757
kov,65,0.0110757
minutes,65,0.0110757
genius,65,0.0110757
crossed,65,0.0110757
telling,65,0.0110757
bare,65,0.0110757
snow,65,0.0110757
settled,65,0.0110757
blame,64,0.0109053
wood,64,0.0109053
greater,64,0.0109053
act,64,0.0109053
imagine,64,0.0109053
advance,64,0.0109053
visit,64,0.0109053
fate,64,0.0109053
riding,64,0.0109053
Karat,64,0.0109053
forest,64,0.0109053
squadron,64,0.0109053
houses,63,0.0107349
pity,63,0.0107349
lifted,63,0.0107349
surrounded,63,0.0107349
hold,63,0.0107349
instant,63,0.0107349
While,63,0.0107349
despite,63,0.0107349
expecting,63,0.0107349
visitors,63,0.0107349
learned,62,0.0105645
boots,62,0.0105645
government,62,0.0105645
send,62,0.0105645
sun,62,0.0105645
consider,62,0.0105645
onto,62,0.0105645
needed,62,0.0105645
sky,62,0.0105645
regard,62,0.0105645
explain,62,0.0105645
Bald,62,0.0105645
animated,62,0.0105645
bent,62,0.0105645
express,61,0.0103941
dying,61,0.0103941
addressed,61,0.0103941
yard,61,0.0103941
recognized,61,0.0103941
wishing,61,0.0103941
cross,61,0.0103941
excited,61,0.0103941
maid,61,0.0103941
letters,61,0.0103941
threw,61,0.0103941
blood,61,0.0103941
wolf,61,0.0103941
manner,61,0.0103941
aside,60,0.0102237
pointed,60,0.0102237
sit,60,0.0102237
conditions,60,0.0102237
street,60,0.0102237
beauty,60,0.0102237
laugh,60,0.0102237
cut,60,0.0102237
significance,60,0.0102237
doubt,60,0.0102237
approaching,59,0.0100533
seven,59,0.0100533
slightly,59,0.0100533
gazing,59,0.0100533
earth,59,0.0100533
evich,59,0.0100533
marriage,59,0.0100533
spread,59,0.0100533
familiar,59,0.0100533
possibility,59,0.0100533
1812,59,0.0100533
broken,59,0.0100533
shed,59,0.0100533
miles,59,0.0100533
fingers,59,0.0100533
surprised,59,0.0100533
shoulder,58,0.00988292
sort,58,0.00988292
touched,58,0.00988292
tall,58,0.00988292
caught,58,0.00988292
enough,58,0.00988292
form,58,0.00988292
shown,58,0.00988292
paper,58,0.00988292
started,58,0.00988292
burning,58,0.00988292
Of,58,0.00988292
bowed,58,0.00988292
rising,58,0.00988292
devil,57,0.00971253
Besides,57,0.00971253
big,57,0.00971253
spot,57,0.00971253
conscious,57,0.00971253
lit,57,0.00971253
handed,57,0.00971253
stay,57,0.00971253
health,57,0.00971253
estate,57,0.00971253
servants,57,0.00971253
play,57,0.00971253
Two,57,0.00971253
personal,57,0.00971253
girls,57,0.00971253
lad,57,0.00971253
sacrifice,56,0.00954213
movements,56,0.00954213
hut,56,0.00954213
higher,56,0.00954213
ashamed,56,0.00954213
stop,56,0.00954213
Eh,56,0.00954213
commanders,56,0.00954213
book,56,0.00954213
character,56,0.00954213
advanced,56,0.00954213
destroyed,56,0.00954213
besides,55,0.00937174
quietly,55,0.00937174
bit,55,0.00937174
spoken,55,0.00937174
sighed,55,0.00937174
stern,55,0.00937174
promised,55,0.00937174
plans,55,0.00937174
